Date,Open,High,Low,Close,Volume
2023-10-10T02:00:00Z,27597.6,27697.56,27578.13,27680.52,773.47538
2023-10-10T03:00:00Z,27680.53,27691.81,27632.08,27632.32,481.61598
2023-10-10T04:00:00Z,27632.32,27636.0,27587.65,27600.05,523.57213
2023-10-10T05:00:00Z,27600.04,27610.83,27579.87,27607.23,424.73874
2023-10-10T06:00:00Z,27607.24,27657.83,27607.23,27655.42,513.95891
2023-10-10T07:00:00Z,27655.41,27706.34,27642.69,27651.45,674.79366
2023-10-10T08:00:00Z,27651.46,27735.0,27647.0,27677.1,716.50119
2023-10-10T09:00:00Z,27677.1,27682.24,27642.06,27662.85,699.50295
2023-10-10T10:00:00Z,27662.84,27675.82,27606.0,27610.0,775.32236
2023-10-10T11:00:00Z,27610.0,27615.81,27500.0,27508.87,1160.08622
2023-10-10T12:00:00Z,27508.86,27530.23,27403.92,27426.5,1402.96595
2023-10-10T13:00:00Z,27426.49,27476.9,27338.87,27395.0,1669.13915
2023-10-10T14:00:00Z,27394.99,27630.0,27351.29,27440.68,2733.60528
2023-10-10T15:00:00Z,27440.68,27474.42,27350.0,27408.01,1703.52691
2023-10-10T16:00:00Z,27408.01,27511.96,27329.62,27432.75,1703.80673
2023-10-10T17:00:00Z,27432.74,27453.65,27345.09,27369.2,1213.34006
2023-10-10T18:00:00Z,27369.19,27395.0,27298.0,27356.14,1090.30377
2023-10-10T19:00:00Z,27356.13,27420.0,27316.78,27397.3,1062.03283
2023-10-10T20:00:00Z,27397.31,27428.0,27322.69,27399.99,758.52259
2023-10-10T21:00:00Z,27399.99,27468.14,27379.88,27425.71,601.00507
2023-10-10T22:00:00Z,27425.71,27470.01,27425.7,27447.9,322.14083
2023-10-10T23:00:00Z,27447.9,27456.66,27384.56,27390.12,421.83985
2023-10-11T00:00:00Z,27390.12,27474.23,27389.17,27462.46,706.62189
2023-10-11T01:00:00Z,27462.47,27477.39,27420.0,27439.15,397.94632
2023-10-11T02:00:00Z,27439.15,27439.18,27034.0,27120.93,3694.96789
